dataset,source_file,risk,actual,estimate
Lichtenstein1978,Lichtenstein1978,Accidental falls,17425.0,2705.643836
Lichtenstein1978,Lichtenstein1978,All accidents,112750.0,89933.83562
Lichtenstein1978,Lichtenstein1978,All cancer,328000.0,46426.9589
Lichtenstein1978,Lichtenstein1978,All disease,1740450.0,89767.0411
Lichtenstein1978,Lichtenstein1978,Appendicitis,902.0,675.9452055
Lichtenstein1978,Lichtenstein1978,Asthma,1886.0,576.4657534
Lichtenstein1978,Lichtenstein1978,Botulism,2.05,248.6575342
Lichtenstein1978,Lichtenstein1978,Breast cancer,31160.0,3111.013699
Lichtenstein1978,Lichtenstein1978,Diabetes,38950.0,1646.109589
Lichtenstein1978,Lichtenstein1978,Drowning,7380.0,3448.931507
Lichtenstein1978,Lichtenstein1978,Electrocution,1025.0,786.8493151
Lichtenstein1978,Lichtenstein1978,Emphysema,21730.0,2904.438356
Lichtenstein1978,Lichtenstein1978,Excess cold,334.15,354.7123288
Lichtenstein1978,Lichtenstein1978,Fire and flames,7380.0,1753.561644
Lichtenstein1978,Lichtenstein1978,Firearm accident,2255.0,1408.164384
Lichtenstein1978,Lichtenstein1978,Fireworks,6.15,217.2328767
Lichtenstein1978,Lichtenstein1978,Flood,205.0,764.9041096
Lichtenstein1978,Lichtenstein1978,Heart disease,738000.0,24206.87671
Lichtenstein1978,Lichtenstein1978,Homicide,18860.0,6344.30137
Lichtenstein1978,Lichtenstein1978,Infectious hepatitis,676.5,649.7534247
Lichtenstein1978,Lichtenstein1978,Leukemia,14555.0,2572.054795
Lichtenstein1978,Lichtenstein1978,Lightning,106.6,99.94520548
Lichtenstein1978,Lichtenstein1978,Lung cancer,75850.0,9894.849315
Lichtenstein1978,Lichtenstein1978,Measles,4.92,220.9589041
Lichtenstein1978,Lichtenstein1978,Motor vehicle accident,55350.0,43178.84932
Lichtenstein1978,Lichtenstein1978,Motor-train collision,1517.0,713.0410959
